"","x"
"151","https://www.gov.br/capes/pt-br/assuntos/noticias/novos-farmacos-podem-enfrentar-covid-19-e-outras-viroses"
"152","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-divulga-selecionados-na-amazonia-legal"
"153","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-seleciona-projetos-em-areas-prioritarias-dos-estados"
"154","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-prorroga-mais-de-20-mil-bolsas-de-mestrado-e-doutorado"
"155","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-humanidades/ciencias-sociais-aplicadas/arquitetura-urbanismo-e-design"
"156","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/educacao-basica/parfor-1"
"157","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/instrumentos"
"158","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-exatas-tecnologicas-e-multidisciplinar/ciencias-exatas-e-da-terra/geociencias"
"159","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-exatas-tecnologicas-e-multidisciplinar/multidisciplinar/ciencias-ambientais"
"160","https://www.gov.br/capes/pt-br/assuntos/noticias/conselho-tecnico-cientifico-realiza-199a-reuniao"
"161","https://www.gov.br/capes/pt-br/assuntos/noticias/curso-abc-abre-mais-100-mil-vagas"
"162","https://www.gov.br/capes/pt-br/acesso-a-informacao/sei"
"163","https://www.gov.br/capes/pt-br/assuntos/noticias/comunidade-cientifica-comeca-a-usar-app-talentos-capes"
"164","https://www.gov.br/capes/pt-br/assuntos/noticias/avaliacao-e-referencia-para-fomento-da-pos-graduacao"
"165","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-investira-r-13-milhoes-em-projetos-na-alemanha"
"166","https://www.gov.br/capes/pt-br/acesso-a-informacao/transparencia-e-prestacao-de-contas/programas-e-projetos"
"167","https://www.gov.br/capes/pt-br/assuntos/eventos/workshop-brazil-u-s-women-in-sciences-and-engineering"
"168","https://www.gov.br/capes/pt-br/assuntos/noticias/guia-explica-internacionalizacao-institucional"
"169","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos/formacao-de-recursos-humanos-em-areas-estrategicas/programa-de-desenvolvimento-da-pos-graduacao-area-de-nutricao-modalidade-mestrado-profissional"
"170","https://www.gov.br/capes/pt-br/assuntos/noticias/blank-50811465"
"171","https://www.gov.br/capes/pt-br/assuntos/noticias/publicada-lista-de-pesquisadores-que-estudarao-na-alemanha"
"172","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/avaliacao-quadrienal/sobre-a-quadrienal"
"173","https://www.gov.br/capes/pt-br/canais_atendimento/comunicacao"
"174","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/belgica/belgica-programas-ativos"
"175","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-apoia-o-compromisso-pela-ciencia-aberta"
"176","https://www.gov.br/capes/pt-br/assuntos/noticias/educacao-profissional-beneficia-pessoas-com-deficiencias"
"177","https://www.gov.br/capes/pt-br/assuntos/noticias/seminario-celebra-20-anos-do-portal-de-periodicos"
"178","https://www.gov.br/capes/pt-br/assuntos/noticias/participantes-aprovam-curso-abc"
"179","https://www.gov.br/capes/pt-br/acesso-a-informacao/licitacoes-e-contratos/licitacoes"
"180","https://www.gov.br/capes/pt-br/assuntos/premios/premio-capes-talento-universitario"
"181","https://www.gov.br/capes/pt-br/assuntos/noticias/ciencia-e-tecnologia-durante-pandemia-e-tema-de-debate"
"182","https://www.gov.br/capes/pt-br/assuntos/noticias/programa-apoia-mestrado-profissional-em-nutricao"
"183","https://www.gov.br/capes/pt-br/acesso-a-informacao/agenda-de-autoridades/presidente/2020-10-05"
"184","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/educacao-a-distancia/uab/mais-sobre-o-sistema-uab/cursos-nacionais-do-sistema-universidade-aberta-do-brasil/cursos-nacionais"
"185","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos/desenvolvimento-regional/pdpg-apoio-ao-desenvolvimento-da-regiao-semiarida-brasileira"
"186","https://www.gov.br/capes/pt-br/assuntos/noticias/avaliacao-pode-contribuir-para-a-aprendizagem-escolar"
"187","https://www.gov.br/capes/pt-br/assuntos/eventos/seminario-internacional-repensando-a-universidade-comparativamente-perplexidades-politicas-e-paradoxos"
"188","https://www.gov.br/capes/pt-br/assuntos/noticias/aplicativo-abre-oportunidade-de-trabalho-para-ex-bolsistas"
"189","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sistema-nacional-de-pos-graduacao-snpg/permanencia/avaliacoes-anteriores-1/avaliacao-trienal-2010-1/planilhas-comparativas-da-avaliacao-trienal-2010"
"190","https://www.gov.br/capes/pt-br/centrais-de-conteudo/publicacoes/infocapes/infocapes-edicao-5-marco-2019"
"191","https://www.gov.br/capes/pt-br/assuntos/noticias/selecao-para-doutorado-no-exterior-vai-ate-marco"
"192","https://www.gov.br/capes/pt-br/assuntos/noticias/medidas-verdes-combinadas-reduzem-alagamentos-em-ate-85"
"193","https://www.gov.br/capes/pt-br/acesso-a-informacao/agenda-de-autoridades/presidente/2020-10-15"
"194","https://www.gov.br/capes/pt-br/assuntos/noticias/programa-residencia-pedagogica-inicia-pagamento-de-bolsas"
"195","https://www.gov.br/capes/pt-br/assuntos/noticias/projetos-apoiados-pelo-programa-entre-mares-sao-destaque"
"196","https://www.gov.br/capes/pt-br/assuntos/noticias/pesquisas-vao-estudar-situacao-das-familias-brasileiras"
"197","https://www.gov.br/capes/pt-br/assuntos/noticias/ciencias-forenses-capes-seleciona-projetos"
"198","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-destaca-inovacao-em-reuniao-com-a-ufrgs"
"199","https://www.gov.br/capes/pt-br/acesso-a-informacao/agenda-de-autoridades/presidente/2020-11-06"
"200","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-lanca-sistema-de-informacoes-sobre-internacionalizacao"
"201","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-reabre-prazos-para-pibid-e-residencia-pedagogica"
"202","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-apresenta-sistema-de-avaliacao-do-print"
"203","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-lanca-revista-de-divulgacao-de-pesquisas-cientificas"
"204","https://www.gov.br/capes/pt-br/assuntos/noticias/encontro-discute-educacao-em-paises-de-lingua-portuguesa"
"205","https://www.gov.br/capes/pt-br/assuntos/noticias/resultado-de-programa-de-brasil-e-portugal-esta-disponivel"
"206","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/informacoes-internacionais/programa-institucional-de-internacionalizacao-capes-print"
"207","https://www.gov.br/capes/pt-br/assuntos/noticias/quarto-modulo-do-curso-abc-trata-da-leitura"
"208","https://www.gov.br/capes/pt-br/acesso-a-informacao/perguntas-frequentes/formacao-de-professores-da-educacao-basica"
"209","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-da-vida/ciencias-da-saude/nutricao"
"210","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-da-vida/ciencias-biologicas/ciencias-biologicas-ii"
"211","https://www.gov.br/capes/pt-br/assuntos/noticias/infocapes-mostra-impacto-de-cursos-de-capacitacao-virtuais"
"212","https://www.gov.br/capes/pt-br/assuntos/noticias/suspenso-cronograma-para-programa-nos-eua"
"213","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-e-mec-promovem-curso-gratuito-de-producao-de-texto"
"214","https://www.gov.br/capes/pt-br/assuntos/noticias/campanha-pela-integridade-publica-tera-participacao-da-capes"
"215","https://www.gov.br/capes/pt-br/acesso-a-informacao/agenda-de-autoridades/diretor-a-de-educacao-basica-deb/2020-09-28"
"216","https://www.gov.br/capes/pt-br/assuntos/noticias/seguranca-publica-e-ciencias-forenses-tem-resultado-divulgado"
"217","https://www.gov.br/capes/pt-br/assuntos/noticias/inscricao-para-curso-sobre-ensino-virtual-vai-ate-sexta"
"218","https://www.gov.br/capes/pt-br/assuntos/noticias/site-da-capes-abre-espaco-para-avaliacao-quadrienal"
"219","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/suecia/programa-capesstint-projetos-conjuntos-de-pesquisa"
"220","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-exatas-tecnologicas-e-multidisciplinar/engenharias/engenharias-i"
"221","https://www.gov.br/capes/pt-br/acesso-a-informacao/agenda-de-autoridades/diretor-a-de-relacoes-internacionais-dri/2020-10-23"
